change_type,original_text,revised_text,issue_tags,reviewer_summary,label,assessment_label_id,issue_multihot,model_input
removed,1.1 To effectively control and monitor accounts receivable in order to maintain the healthy cash flow of the University. 1.2 To recognize timely potential collection problems of accounts receivable. 1.3 To immediately take action on past due accounts.,1.1 To manage University finances.,ambiguous_language|insufficient_detail|unclear_scope,"The revision removes the specific objectives for monitoring accounts receivable, recognizing collection problems, and acting on past due accounts.",Needs Revision,1,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
1.1 To effectively control and monitor accounts receivable in order to maintain the healthy cash flow of the University. 1.2 To recognize timely potential collection problems of accounts receivable. 1.3 To immediately take action on past due accounts.

[REVISED TEXT]
1.1 To manage University finances."
modified,"A reporting person issues a Disciplinary Action Slip, submits a Disciplinary Referral Slip to the VPSD, and OSD Staff records the case. The PHC determines whether formal investigation is warranted; when sufficient, formal charges are served on the respondent and parent or guardian. The respondent may answer in writing within ten calendar days. The Chair of the SDC notifies the student and parent or guardian of the hearing. The SDC renders a decision by majority vote within fifteen days after receiving the complaint. The student may appeal through the applicable review route.","1. The reporting security guard, faculty member, or staff member shall issue the Disciplinary Action Slip and submit the Disciplinary Referral Slip to the Office of the VPSD. 2. OSD Staff shall record the case in the Student Violation Logbook. 3. The PHC shall determine whether the documented report warrants formal investigation. 4. When formal investigation is initiated, formal charges shall be served on the respondent and parent or guardian. 5. The respondent shall be given the stated opportunity to answer in writing. 6. The Chair of the SDC shall notify the student and parent or guardian of the formal hearing. 7. The SDC shall render and document its decision by majority vote within the stated period. 8. The student may use the applicable appeal route for review by the authorized authority.",,"The revision retains reporting, logbook entry, PHC assessment, notice, written response, hearing notice, committee decision, and appeal-routing safeguards.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
A reporting person issues a Disciplinary Action Slip, submits a Disciplinary Referral Slip to the VPSD, and OSD Staff records the case. The PHC determines whether formal investigation is warranted; when sufficient, formal charges are served on the respondent and parent or guardian. The respondent may answer in writing within ten calendar days. The Chair of the SDC notifies the student and parent or guardian of the hearing. The SDC renders a decision by majority vote within fifteen days after receiving the complaint. The student may appeal through the applicable review route.

[REVISED TEXT]
1. The reporting security guard, faculty member, or staff member shall issue the Disciplinary Action Slip and submit the Disciplinary Referral Slip to the Office of the VPSD. 2. OSD Staff shall record the case in the Student Violation Logbook. 3. The PHC shall determine whether the documented report warrants formal investigation. 4. When formal investigation is initiated, formal charges shall be served on the respondent and parent or guardian. 5. The respondent shall be given the stated opportunity to answer in writing. 6. The Chair of the SDC shall notify the student and parent or guardian of the formal hearing. 7. The SDC shall render and document its decision by majority vote within the stated period. 8. The student may use the applicable appeal route for review by the authorized authority."
reordered,"Faculty and personnel log in and log out through the biometrics system. The Records Officer prints monthly Daily Time Records within two working days of the following month, sends transmittal letters to divisions or offices, and retains copies. College Deans receive DTRs, sign, and submit them to HRM. The University President signs DTRs of Vice Presidents and Chiefs of Offices. The Director HRM receives signed DTRs and prepares payroll.",1. The Director HRM shall prepare payroll. 2. Faculty and personnel shall log in and log out through biometrics. 3. College Deans shall sign DTRs. 4. The Records Officer shall print DTRs. 5. The University President shall sign DTRs of Vice Presidents and Chiefs of Offices.,illogical_sequence|missing_record_or_evidence|missing_traceability,"The revision prepares payroll before DTRs are printed, distributed, signed, and received by HRM. It also removes transmittal letters and the timing requirement for DTR production.",Needs Revision,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[CHANGE TYPE]
reordered

[ORIGINAL TEXT]
Faculty and personnel log in and log out through the biometrics system. The Records Officer prints monthly Daily Time Records within two working days of the following month, sends transmittal letters to divisions or offices, and retains copies. College Deans receive DTRs, sign, and submit them to HRM. The University President signs DTRs of Vice Presidents and Chiefs of Offices. The Director HRM receives signed DTRs and prepares payroll.

[REVISED TEXT]
1. The Director HRM shall prepare payroll. 2. Faculty and personnel shall log in and log out through biometrics. 3. College Deans shall sign DTRs. 4. The Records Officer shall print DTRs. 5. The University President shall sign DTRs of Vice Presidents and Chiefs of Offices."
removed,1.1 To provide guidelines and procedures in evaluation of external providers. 1.2 To ensure that guidelines and procedures in evaluation of external providers are strictly followed.,1.1 To evaluate suppliers when necessary.,ambiguous_language|insufficient_detail|unclear_scope,The revision removes the purpose of providing guidelines and ensuring implementation of the evaluation procedure. It also makes the timing and scope of evaluation unclear.,Needs Revision,1,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
1.1 To provide guidelines and procedures in evaluation of external providers. 1.2 To ensure that guidelines and procedures in evaluation of external providers are strictly followed.

[REVISED TEXT]
1.1 To evaluate suppliers when necessary."
modified,"An offense is a violation of University rules and regulations. Offenses are classified as Light, Serious, and Very Serious with corresponding sanctions.","For purposes of this procedure, a reported violation of University rules or regulations shall be categorized under the applicable Light, Serious, or Very Serious process classification. The classification and corresponding procedural route shall be recorded and reviewed by authorized University personnel.",,The revision preserves the three-level structure while emphasizing documented classification and authorized procedural review rather than an automated or unsupported conclusion.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
An offense is a violation of University rules and regulations. Offenses are classified as Light, Serious, and Very Serious with corresponding sanctions.

[REVISED TEXT]
For purposes of this procedure, a reported violation of University rules or regulations shall be categorized under the applicable Light, Serious, or Very Serious process classification. The classification and corresponding procedural route shall be recorded and reviewed by authorized University personnel."
modified,"Accounting Staff-4 receives student Clearances from the Adviser, checks student ledgers, and countersigns Clearances when no accountabilities remain. If there are accountabilities, the Accountant returns the Clearance to the Adviser, who advises parents or students to settle the accountabilities. The student or parent settles at the Cash Management Office and returns the Clearance with the Official Receipt to the Accountant. The Accountant signs the Clearance when no accountabilities remain.","1. Accounting Staff-4 shall receive student Clearances from the Adviser and verify each student's ledger for accountabilities. 2. When no accountabilities remain, Accounting Staff-4 shall countersign the Clearance and forward it to the Accountant. 3. When accountabilities remain, the Accountant shall return the Clearance to the Adviser for notice to the parent or student. 4. The student or parent shall settle the accountabilities at the Cash Management Office and return the Clearance with the Official Receipt to the Accountant. 5. The Accountant shall sign the Clearance only after confirming that no accountabilities remain.",,"The revision retains the adviser, parent or student, Accounting Staff, and Accountant responsibilities, as well as Official Receipt evidence and conditional clearance signing.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
Accounting Staff-4 receives student Clearances from the Adviser, checks student ledgers, and countersigns Clearances when no accountabilities remain. If there are accountabilities, the Accountant returns the Clearance to the Adviser, who advises parents or students to settle the accountabilities. The student or parent settles at the Cash Management Office and returns the Clearance with the Official Receipt to the Accountant. The Accountant signs the Clearance when no accountabilities remain.

[REVISED TEXT]
1. Accounting Staff-4 shall receive student Clearances from the Adviser and verify each student's ledger for accountabilities. 2. When no accountabilities remain, Accounting Staff-4 shall countersign the Clearance and forward it to the Accountant. 3. When accountabilities remain, the Accountant shall return the Clearance to the Adviser for notice to the parent or student. 4. The student or parent shall settle the accountabilities at the Cash Management Office and return the Clearance with the Official Receipt to the Accountant. 5. The Accountant shall sign the Clearance only after confirming that no accountabilities remain."
modified,"The Preliminary Hearing Committee assesses complaints involving serious or very serious matters to determine whether they warrant formal investigation. The PHC consists of the VPSD, SSC Adviser, Guidance Counselor, and SSC President.",The VPSD alone decides whether every report requires a formal investigation.,missing_responsibility|missing_traceability|missing_record_or_evidence|insufficient_detail,"The revision removes the Preliminary Hearing Committee composition, collective assessment role, and documented basis for deciding whether formal investigation is warranted.",Needs Revision,1,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Preliminary Hearing Committee assesses complaints involving serious or very serious matters to determine whether they warrant formal investigation. The PHC consists of the VPSD, SSC Adviser, Guidance Counselor, and SSC President.

[REVISED TEXT]
The VPSD alone decides whether every report requires a formal investigation."
reordered,"Accounting Staff-4 receives Daily Time Records and Special Orders of student assistants, checks completeness and propriety, and prepares payroll. Accounting Staff-8 forwards the payroll and supporting documents to the Budget Office for ORS or BURS issuance when applicable. The Budget Officer issues and signs the ORS or BURS. Accounting Staff-3 prepares the Disbursement Voucher. The VPAF certifies legality, the Accountant certifies cash availability and document completeness, the University President approves payment, and the Cash Management Office processes and releases wages after check encashment. The student signs the payroll.",1. The Cash Management Office shall release wages to the student assistant. 2. The student shall sign the payroll. 3. Accounting Staff-4 shall prepare payroll and gather documents. 4. The University President shall approve payment. 5. The Accountant shall certify cash availability. 6. The Budget Officer shall issue the ORS or BURS.,illogical_sequence|missing_record_or_evidence|missing_approval_step|missing_responsibility,"The revision releases wages before payroll preparation, document verification, required certifications, and approval. It also omits the Disbursement Voucher and the required document-forwarding sequence.",Needs Revision,1,"[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[CHANGE TYPE]
reordered

[ORIGINAL TEXT]
Accounting Staff-4 receives Daily Time Records and Special Orders of student assistants, checks completeness and propriety, and prepares payroll. Accounting Staff-8 forwards the payroll and supporting documents to the Budget Office for ORS or BURS issuance when applicable. The Budget Officer issues and signs the ORS or BURS. Accounting Staff-3 prepares the Disbursement Voucher. The VPAF certifies legality, the Accountant certifies cash availability and document completeness, the University President approves payment, and the Cash Management Office processes and releases wages after check encashment. The student signs the payroll.

[REVISED TEXT]
1. The Cash Management Office shall release wages to the student assistant. 2. The student shall sign the payroll. 3. Accounting Staff-4 shall prepare payroll and gather documents. 4. The University President shall approve payment. 5. The Accountant shall certify cash availability. 6. The Budget Officer shall issue the ORS or BURS."
added,"1.1 To provide guidelines and procedures of accounting services to the students, the raison d'etre of the University.","1.1 To provide guidelines and procedures of accounting services to the students, the raison d'etre of the University. 1.2 To promote timely, accurate, and accountable processing of student-related accounting transactions.",,The added objective is relevant to student accounting and clearly supports the manual's service-delivery purpose.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
added

[ORIGINAL TEXT]
1.1 To provide guidelines and procedures of accounting services to the students, the raison d'etre of the University.

[REVISED TEXT]
1.1 To provide guidelines and procedures of accounting services to the students, the raison d'etre of the University. 1.2 To promote timely, accurate, and accountable processing of student-related accounting transactions."
modified,"The Career and Personnel Development Plan is established for reference and guidance. LNU values human resources as an asset and commits to a systematic career and personnel development program. The plan includes interventions such as merit promotion, performance evaluation, conferences and seminars, scholarship and training grants, suggestions, incentives, welfare, counseling, coaching, job rotation, secondment, detail, job shifting, and others.",The University may provide training activities when funds are available.,ambiguous_language|insufficient_detail|missing_responsibility|missing_traceability,"The revision removes the systematic Career and Personnel Development Plan, the University commitment, the range of development interventions, and the basis for planning or documenting staff development.",Needs Revision,1,"[1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Career and Personnel Development Plan is established for reference and guidance. LNU values human resources as an asset and commits to a systematic career and personnel development program. The plan includes interventions such as merit promotion, performance evaluation, conferences and seminars, scholarship and training grants, suggestions, incentives, welfare, counseling, coaching, job rotation, secondment, detail, job shifting, and others.

[REVISED TEXT]
The University may provide training activities when funds are available."
added,"The Director of HRM publishes job vacancies, receives applications and documentary requirements, evaluates applicants and next-in-rank candidates, establishes qualification standards, prepares shortlisted candidates, and prepares background-review and assessment documents. The PSB or FSB conducts interviews, teaching demonstrations when applicable, verifies qualifications and fitness, schedules deliberation, and prepares deliberation results. The Director of HRM facilitates signing and submits recommendation results to the University President. The Director prepares appointment papers, submits them for signature, releases the approved appointment, introduces the new employee to the unit, and conducts orientation. The successful applicant receives the appointment and reports for duty.","The Director of HRM publishes job vacancies, receives applications and documentary requirements, evaluates applicants and next-in-rank candidates, establishes qualification standards, prepares shortlisted candidates, and prepares background-review and assessment documents. The PSB or FSB conducts interviews, teaching demonstrations when applicable, verifies qualifications and fitness, schedules deliberation, and prepares deliberation results. The Director of HRM facilitates signing and submits recommendation results to the University President. The Director prepares appointment papers, submits them for signature, releases the approved appointment, introduces the new employee to the unit, and conducts orientation. The successful applicant receives the appointment and reports for duty. The HRMO shall retain the vacancy announcement, application evaluation, deliberation result, recommendation, appointment, and orientation records according to the applicable records-control procedure.",,The added record-retention requirement is relevant to the recruitment workflow and strengthens traceability of key selection and placement decisions.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
added

[ORIGINAL TEXT]
The Director of HRM publishes job vacancies, receives applications and documentary requirements, evaluates applicants and next-in-rank candidates, establishes qualification standards, prepares shortlisted candidates, and prepares background-review and assessment documents. The PSB or FSB conducts interviews, teaching demonstrations when applicable, verifies qualifications and fitness, schedules deliberation, and prepares deliberation results. The Director of HRM facilitates signing and submits recommendation results to the University President. The Director prepares appointment papers, submits them for signature, releases the approved appointment, introduces the new employee to the unit, and conducts orientation. The successful applicant receives the appointment and reports for duty.

[REVISED TEXT]
The Director of HRM publishes job vacancies, receives applications and documentary requirements, evaluates applicants and next-in-rank candidates, establishes qualification standards, prepares shortlisted candidates, and prepares background-review and assessment documents. The PSB or FSB conducts interviews, teaching demonstrations when applicable, verifies qualifications and fitness, schedules deliberation, and prepares deliberation results. The Director of HRM facilitates signing and submits recommendation results to the University President. The Director prepares appointment papers, submits them for signature, releases the approved appointment, introduces the new employee to the unit, and conducts orientation. The successful applicant receives the appointment and reports for duty. The HRMO shall retain the vacancy announcement, application evaluation, deliberation result, recommendation, appointment, and orientation records according to the applicable records-control procedure."
modified,"The Career and Personnel Development Plan is established for reference and guidance. LNU values human resources as an asset and commits to a systematic career and personnel development program. The plan includes interventions such as merit promotion, performance evaluation, conferences and seminars, scholarship and training grants, suggestions, incentives, welfare, counseling, coaching, job rotation, secondment, detail, job shifting, and others.","The Career and Personnel Development Plan shall guide the systematic development of University personnel. The University shall treat human resources as a key institutional asset and provide appropriate interventions, including merit promotion, performance evaluation, conferences and seminars, local and foreign scholarships and training grants, counseling, coaching, welfare, job rotation, secondment, detail, job shifting, and incentive systems.",,The revision retains the systematic development-plan purpose and broad range of interventions while organizing them more clearly.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Career and Personnel Development Plan is established for reference and guidance. LNU values human resources as an asset and commits to a systematic career and personnel development program. The plan includes interventions such as merit promotion, performance evaluation, conferences and seminars, scholarship and training grants, suggestions, incentives, welfare, counseling, coaching, job rotation, secondment, detail, job shifting, and others.

[REVISED TEXT]
The Career and Personnel Development Plan shall guide the systematic development of University personnel. The University shall treat human resources as a key institutional asset and provide appropriate interventions, including merit promotion, performance evaluation, conferences and seminars, local and foreign scholarships and training grants, counseling, coaching, welfare, job rotation, secondment, detail, job shifting, and incentive systems."
modified,Recruitment shall follow Civil Service Commission laws and rules stating that government employment opportunities are open to all qualified citizens and that positive efforts shall attract the best qualified applicants. Employees shall be selected based on fitness to perform the duties and responsibilities of the position.,"Recruitment shall provide qualified citizens equal opportunity to apply for government employment, and the HRMO shall use reasonable publication methods to attract qualified applicants. Selection shall be based on an applicant's demonstrated fitness, qualifications, and ability to perform the duties and responsibilities of the position.",,"The revision retains open opportunity, outreach to qualified applicants, and fitness-based selection while clarifying the HRMO's role.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
Recruitment shall follow Civil Service Commission laws and rules stating that government employment opportunities are open to all qualified citizens and that positive efforts shall attract the best qualified applicants. Employees shall be selected based on fitness to perform the duties and responsibilities of the position.

[REVISED TEXT]
Recruitment shall provide qualified citizens equal opportunity to apply for government employment, and the HRMO shall use reasonable publication methods to attract qualified applicants. Selection shall be based on an applicant's demonstrated fitness, qualifications, and ability to perform the duties and responsibilities of the position."
modified,"The student submits the Application for Student Records. Accounting Staff-4 receives the application, checks the student's ledger or account using the Student Information and Accounting System, signs the application if the student has no financial accountabilities, advises the student to settle accountabilities first if there are outstanding balances, signs the application after settlement, and releases the application to the student.","1. The student shall submit the Application for Student Records to Accounting Staff-4. 2. Accounting Staff-4 shall receive the application and verify the student's ledger or account using the Student Information and Accounting System. 3. If the student has no outstanding financial accountabilities, Accounting Staff-4 shall sign and release the application. 4. If accountabilities remain, Accounting Staff-4 shall advise the student to settle them with the Cash Management Office and shall sign the application only after verifying settlement. 5. The student shall receive the signed application.",,"The revision retains the submission, ledger verification, conditional signing, settlement requirement, and release sequence while making the decision conditions clear.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The student submits the Application for Student Records. Accounting Staff-4 receives the application, checks the student's ledger or account using the Student Information and Accounting System, signs the application if the student has no financial accountabilities, advises the student to settle accountabilities first if there are outstanding balances, signs the application after settlement, and releases the application to the student.

[REVISED TEXT]
1. The student shall submit the Application for Student Records to Accounting Staff-4. 2. Accounting Staff-4 shall receive the application and verify the student's ledger or account using the Student Information and Accounting System. 3. If the student has no outstanding financial accountabilities, Accounting Staff-4 shall sign and release the application. 4. If accountabilities remain, Accounting Staff-4 shall advise the student to settle them with the Cash Management Office and shall sign the application only after verifying settlement. 5. The student shall receive the signed application."
modified,"The appointing authority may promote a next-in-rank employee with superior qualifications and competence compared with another next-in-rank employee who only meets minimum requirements. Promotion factors for non-teaching staff include educational qualifications, competence, personality traits and potential, relevant experience, relevant trainings, and special skills.","Promotion decisions may consider a next-in-rank employee's superior qualifications and competence in relation to the requirements of the position. For non-teaching staff, the evaluation shall consider educational qualifications, competence, personality traits and potential, relevant experience, relevant training, and special skills, with the basis for the recommendation documented.",,The revision retains the policy basis and identified promotion factors while adding documentation of the recommendation basis.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The appointing authority may promote a next-in-rank employee with superior qualifications and competence compared with another next-in-rank employee who only meets minimum requirements. Promotion factors for non-teaching staff include educational qualifications, competence, personality traits and potential, relevant experience, relevant trainings, and special skills.

[REVISED TEXT]
Promotion decisions may consider a next-in-rank employee's superior qualifications and competence in relation to the requirements of the position. For non-teaching staff, the evaluation shall consider educational qualifications, competence, personality traits and potential, relevant experience, relevant training, and special skills, with the basis for the recommendation documented."
removed,"The new Policies, Standards, and Guidelines of the Commission on Higher Education shall serve as bases for crafting a new curriculum or revising an existing curriculum.",Curricula may be revised based on the preference of the program.,missing_approval_step|missing_traceability|possible_contradiction|insufficient_detail,The revision removes CHED PSGs as a required basis and substitutes an undefined program preference without a regulatory or documented standard.,Needs Revision,1,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
The new Policies, Standards, and Guidelines of the Commission on Higher Education shall serve as bases for crafting a new curriculum or revising an existing curriculum.

[REVISED TEXT]
Curricula may be revised based on the preference of the program."
modified,"3.1 Government resources shall be managed, expended, or utilized in accordance with laws and regulations and safeguarded against loss or wastage through illegal or improper disposition. Responsibility for faithful adherence rests directly with the chief or head of the government agency concerned. 3.2 No money shall be paid out of any public treasury or depository except pursuant to an appropriation law or other specific statutory authority. 3.3 All laws and regulations applicable to financial transactions shall be faithfully adhered to.","Government funds may be used when offices need them, provided that the transactions are reasonable.",ambiguous_language|missing_approval_step|missing_responsibility|possible_contradiction,"The revision removes the requirement for statutory authority, compliance with laws and regulations, and accountability of the responsible agency head. The phrase 'reasonable' does not provide a defined financial-control requirement.",Needs Revision,1,"[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
3.1 Government resources shall be managed, expended, or utilized in accordance with laws and regulations and safeguarded against loss or wastage through illegal or improper disposition. Responsibility for faithful adherence rests directly with the chief or head of the government agency concerned. 3.2 No money shall be paid out of any public treasury or depository except pursuant to an appropriation law or other specific statutory authority. 3.3 All laws and regulations applicable to financial transactions shall be faithfully adhered to.

[REVISED TEXT]
Government funds may be used when offices need them, provided that the transactions are reasonable."
added,5.1 None.,"5.1 No prescribed form is required for this procedure. The PRAISE Committee shall maintain approved nomination, evaluation, and award-decision records using the format authorized by the Committee and the applicable records-control procedure.",,The revision respects the manual's statement that there is no prescribed form while clarifying that essential nomination and award records still need to be controlled.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
added

[ORIGINAL TEXT]
5.1 None.

[REVISED TEXT]
5.1 No prescribed form is required for this procedure. The PRAISE Committee shall maintain approved nomination, evaluation, and award-decision records using the format authorized by the Committee and the applicable records-control procedure."
modified,3.1 All items purchased for the Income Generating Office operations shall be inspected before use or sale. 3.2 A Special Order shall be issued to workers before assumption to duty. 3.3 Student laborers shall observe proper limitations as to their assigned tasks. 3.4 All income shall be deposited to the depository bank on the following day.,"Items may be used right away, workers can start when needed, and income will be deposited later.",possible_contradiction|missing_approval_step|missing_traceability|insufficient_detail,"The revision weakens or contradicts inspection-before-use, Special Order issuance, authorized student-labor assignments, and next-day income-deposit requirements. It also removes the responsible role and expected documentation.",Needs Revision,1,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
3.1 All items purchased for the Income Generating Office operations shall be inspected before use or sale. 3.2 A Special Order shall be issued to workers before assumption to duty. 3.3 Student laborers shall observe proper limitations as to their assigned tasks. 3.4 All income shall be deposited to the depository bank on the following day.

[REVISED TEXT]
Items may be used right away, workers can start when needed, and income will be deposited later."
reordered,The policies and procedure stipulated herein shall be observed by all those concerned in the revision and development of curricular programs in the University.,All persons and committees involved in curriculum development or revision shall observe the policies and procedure established in this manual.,,The revision changes the wording order but preserves the requirement that concerned parties follow the established curriculum procedure.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
reordered

[ORIGINAL TEXT]
The policies and procedure stipulated herein shall be observed by all those concerned in the revision and development of curricular programs in the University.

[REVISED TEXT]
All persons and committees involved in curriculum development or revision shall observe the policies and procedure established in this manual."
modified,1.1 To provide guidelines on the income generating projects of LNU. 1.2 To ensure that these guidelines and policies are followed and maintained.,"1.1 To establish guidelines for planning, approving, implementing, monitoring, and reporting income-generating projects of Leyte Normal University. 1.2 To ensure that applicable policies and procedures for income-generating projects are consistently implemented, monitored, and maintained.",,The revision preserves the original purpose of providing guidelines and ensuring policy implementation while clarifying the activities covered by the manual.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
1.1 To provide guidelines on the income generating projects of LNU. 1.2 To ensure that these guidelines and policies are followed and maintained.

[REVISED TEXT]
1.1 To establish guidelines for planning, approving, implementing, monitoring, and reporting income-generating projects of Leyte Normal University. 1.2 To ensure that applicable policies and procedures for income-generating projects are consistently implemented, monitored, and maintained."
modified,"1.1 To provide guidelines and procedures of accounting services to the students, the raison d'etre of the University.","1.1 To provide clear guidelines and procedures for delivering student accounting services, including the processing and release of authorized student claims, allowances, refunds, and accounting documents.",,The revision preserves the objective of serving students through accounting services while stating the service coverage more clearly.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
1.1 To provide guidelines and procedures of accounting services to the students, the raison d'etre of the University.

[REVISED TEXT]
1.1 To provide clear guidelines and procedures for delivering student accounting services, including the processing and release of authorized student claims, allowances, refunds, and accounting documents."
modified,This procedure applies to all bona fide students of the University.,This procedure applies to anyone connected with the University.,unclear_scope|insufficient_detail,The revision expands the scope without defining who is covered or how the procedure applies to non-student persons.,Needs Revision,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
This procedure applies to all bona fide students of the University.

[REVISED TEXT]
This procedure applies to anyone connected with the University."
reordered,"The Purchaser or End-User evaluates accredited external providers by accomplishing the External Provider Performance Evaluation Form and forwards results to the Supply and Property Officer for review and approval. The Supply and Property Officer reviews and approves the form and forwards it to the Purchaser. The Purchaser or Supply and Property Officer summarizes the evaluation results, prepares the External Providers Performance Report, and updates the List of Accredited External Providers if needed.",1. The Purchaser shall update the List of Accredited External Providers. 2. The Purchaser shall prepare the External Providers Performance Report. 3. The Supply and Property Officer shall approve the External Provider Performance Evaluation Form. 4. The Purchaser or End-User shall complete the External Provider Performance Evaluation Form.,illogical_sequence|missing_record_or_evidence|missing_responsibility,"The revision updates the accredited-provider list and prepares the report before the evaluation is completed, reviewed, and approved. It also removes the required forwarding of results for review.",Needs Revision,1,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[CHANGE TYPE]
reordered

[ORIGINAL TEXT]
The Purchaser or End-User evaluates accredited external providers by accomplishing the External Provider Performance Evaluation Form and forwards results to the Supply and Property Officer for review and approval. The Supply and Property Officer reviews and approves the form and forwards it to the Purchaser. The Purchaser or Supply and Property Officer summarizes the evaluation results, prepares the External Providers Performance Report, and updates the List of Accredited External Providers if needed.

[REVISED TEXT]
1. The Purchaser shall update the List of Accredited External Providers. 2. The Purchaser shall prepare the External Providers Performance Report. 3. The Supply and Property Officer shall approve the External Provider Performance Evaluation Form. 4. The Purchaser or End-User shall complete the External Provider Performance Evaluation Form."
